person_id,full_name,other_names,assnat_url
17861,emilie foster,foster ; mme foster,/fr/deputes/foster-emilie-17861/index.html
441,emilien pelletier,NA,/fr/deputes/pelletier-emilien-441/index.html
17871,emilise lessardtherrien,lessardtherrien ; mme lessard-therrien ; Émilise Lessard-Therrien réplique,/fr/deputes/lessard-therrien-emilise-17871/index.html
363,emmanuel dubourg,dubourg,/fr/deputes/dubourg-emmanuel-363/index.html
17943,enrico ciccone,ciccone ; m. ciccone ; m.ciccone,/fr/deputes/ciccone-enrico-17943/index.html
485,eric caire,caire,/fr/deputes/caire-eric-485/index.html
5855,eric charbonneau,charbonneau,/fr/deputes/charbonneau-eric-5855/index.html
5869,eric dorion,dorion,/fr/deputes/dorion-eric-5869/index.html
17957,eric girard,NA,/fr/deputes/girard-eric-17957/index.html
17957,eric girard2,NA,/fr/deputes/girard-eric-17957/index.html
5881,eric laporte,laporte,/fr/deputes/laporte-eric-5881/index.html
16777,eric lefebvre,lefebvre,/fr/deputes/lefebvre-eric-16777/index.html
900007,eric mercier,mercier,
19267,etienne grandmont,grandmont ; m.grandmont ; m. grandmont,/fr/deputes/grandmont-etienne-19267/index.html
149,etiennealexis boucher,boucher,/fr/deputes/boucher-etienne-alexis-149/index.html
61,fatima houdapepin,houdapepin,/fr/deputes/houda-pepin-fatima-61/index.html
1171,filomena rotiroti,rotiroti,/fr/deputes/rotiroti-filomena-1171/index.html
2911,france dionne,dionne,/fr/deputes/dionne-france-2911/index.html
5821,france hamel,hamel,/fr/deputes/hamel-france-5821/index.html
19257,franceelaine duranceau,duranceau ; mme duranceau,/fr/deputes/duranceau-france-elaine-19257/index.html
635,francine charbonneau,charbonneau,/fr/deputes/charbonneau-francine-635/index.html
5819,francine gaudet,gaudet,/fr/deputes/gaudet-francine-5819/index.html
2991,francis dufour,dufour,/fr/deputes/dufour-francis-2991/index.html
1909,francois beaulne,beaulne,/fr/deputes/beaulne-francois-1909/index.html
5849,francois benjamin,benjamin,/fr/deputes/benjamin-francois-5849/index.html
15365,francois blais,NA,/fr/deputes/blais-francois-15365/index.html
11,francois bonnardel,bonnardel,/fr/deputes/bonnardel-francois-11/index.html
5787,francois corriveau,corriveau,/fr/deputes/corriveau-francois-5787/index.html
5861,francois desrochers,desrochers,/fr/deputes/desrochers-francois-5861/index.html
5793,francois gaudreau,gaudreau,/fr/deputes/gaudreau-francois-5793/index.html
